name,type,address,quarter,city,phone,rating,verified,is_top_partner,special_badge,description,image_url,url,activities,has_contact_form,offers_free_trial
OSC Basketball Academy,Club de sport,au Quartier Oasis  à  Casablanca,au Quartier Oasis,Casablanca,N/A,0,True,False,N/A,"Dans un cadre sein, propre et sécurise , vos enfants auront tous les atouts pour s'épanouir et seront encadrés par des coachs reconnus et de renoms, qui sauront transmettre à vos enfants la passion , le travail en équipe et l'estime de soi. Plusieurs stages-me...",https://www.clubs.ma/assets/img280/1210/osc-basketball-academy-club-de-sport-casablanca-1210.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/osc-basketball-academy,Basketball,True,True
Amjad Hay Hassani Badminton,Club de sport,au Quartier Hay Hassani  à  Casablanca,au Quartier Hay Hassani,Casablanca,N/A,0,True,False,N/A,"Amjad Hay Hassani est une association sportive de badmintion localisée à Hay Hassani Casablanca. AMJAD HAY HASSANI BADMINTON a pour objet de diriger, d'encourager, d'organiser, d'administrer et de développer la pratique du Badminton en Maroc.",https://www.clubs.ma/assets/img280/1182/amjad-hay-hassani-badminton-club-de-sport-casablanca-1182.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/amjad-hay-hassani-badminton,Badminton,True,True
AVADAS CLUB CASABLANCA,Club de sport,au Quartier Ain Sebaa  à  Casablanca,au Quartier Ain Sebaa,Casablanca,N/A,0,True,False,N/A,"Avadas Club Casablanca accorde une attention particulière à son ÉCOLE DE FOOTBALL, considérée comme l’un de ses projets principaux vue son importance au sein du territoire d’Ain Sebaâ. Cette école attire un grand nombre d’enfants et jeunes, les incite à pratiq...",https://www.clubs.ma/assets/img280/1370/avadas-club-casablanca-club-de-sport-casablanca-1370.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/avadas-club-casablanca,Football,True,True
Gym Factory,Club de sport,au Quartier Beausejour  à  Casablanca,au Quartier Beausejour,Casablanca,N/A,0,True,False,N/A,"Gym factory vous propose un centre de remise en forme et art martiaux, disposant de coachs diplômés d état français,dans un lieu unique à Casablanca.",https://www.clubs.ma/assets/img280/514/gym-factory-club-de-sport-casablanca-514.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/gym-factory,"Musculation, Jiu-Jitsu brésilien, Fitness, Boxe anglaise",True,True
K-Fitness Club,Salle de sport,au Quartier Sidi Maarouf  à  Casablanca,au Quartier Sidi Maarouf,Casablanca,N/A,0,True,False,N/A,"Quelle que soit votre motivation : vous tonifier, vous assouplir, vous défouler,… rendez-vous dans votre nouvel espace forme, sans frime et convivial ! 
Pour vous entraîner ou pour vous détendre, nous vous proposons : des cours collectifs et une assistance en...",https://www.clubs.ma/assets/img280/1001/k-fitness-club-salle-de-sport-casablanca-1001.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/k-fitness-club,"Musculation, Fitness",True,True
KidiClub Casablanca,Club de sport,au Quartier Palmier  à  Casablanca,au Quartier Palmier,Casablanca,N/A,0,True,False,N/A,"Au sein de KIDICLUB Casablanca, nous œuvrons au quotidien afin que le sport soit un réel vecteur d’épanouissement pour nos enfants et contribuer ainsi à leur équilibre physique et moral.",https://www.clubs.ma/assets/img280/1269/kidiclub-casablanca-club-de-sport-casablanca-1269.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/kidiclub-casablanca,"Taekwondo, Natation, Judo, Hip hop",True,True
Casablanca Karate Academy,Club des arts martiaux,au Quartier Hay Hassani  à  Casablanca,au Quartier Hay Hassani,Casablanca,N/A,0,True,False,N/A,Ecole professionnelle de sport et arts martiaux à Casablanca.,https://www.clubs.ma/assets/img280/522/casablanca-karate-academy-club-des-arts-martiaux-casablanca-522.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/casablanca-karate-academy,"Karaté, Arts martiaux",True,True
Flèche Casablanca de Tir à l'Arc,Club de sport,à  Casablanca,N/A,Casablanca,N/A,0,True,False,N/A,"Nous sommes Flèche Casablanca de Tir à l’Arc, une communauté dédiée à la promotion et à la pratique du tir à l’arc.",https://www.clubs.ma/assets/img280/1628/fleche-casablanca-de-tir-a-l-arc-club-de-sport-casablanca-1628.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/fleche-casablanca-de-tir-a-l-arc,Tir à l'arc,True,True
Morocco Bodyboard Academy,Ecole de Bodyboard,au Quartier Ain Diab  à  Casablanca,au Quartier Ain Diab,Casablanca,N/A,0,True,False,N/A,"Affiliée à la Fédération Royale Marocaine de Surf et de Bodyboard, la Morocco Bodyboard Academy qui a pour finalité la pratique sportive du Bodyboard. L'objectif du club est de permettre aux athlètes d’évoluer au plus haut niveau de compétition tandis que l'éc...",https://www.clubs.ma/assets/img280/134/morocco-bodyboard-academy-ecole-de-bodyboard-casablanca-134.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/morocco-bodyboard-academy,"Surf, Bodyboard",True,True
New Life Fitness,Salle de sport,au Quartier Bourgogne  à  Casablanca,au Quartier Bourgogne,Casablanca,N/A,0,True,False,N/A,"Vous avez envie de faire du sport pour retrouver la forme, garder la ligne ou rester en bonne santé mais vous pensez que les salles de sport traditionnelles sont trop chères ? 
New Life Fitness Casablanca révolutionne le fitness en vous offrant un espace spor...",https://www.clubs.ma/assets/img280/533/new-life-fitness-salle-de-sport-casablanca-533.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/new-life-fitness,"Musculation, Fitness",True,True
Svelt Forme,Salle de sport,au Quartier Mers Sultan 1  à  Casablanca,au Quartier Mers Sultan 1,Casablanca,N/A,0,True,False,N/A,"Svelt Forme est votre salle de sport à Casablanca, située exactement à N°26, Rue du Mont Mirail, Avenue Mers Sultan au quartier MERS SULTAN 1 à Casablanca. Svelt Forme vous accueille et propose un ensemble de services et d'activités : Taekwondo, Musculation, K...",https://www.clubs.ma/assets/img280/589/svelt-forme-salle-de-sport-casablanca-589.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/svelt-forme,"Taekwondo, Musculation, Kung fu, Fitness",True,True
Association  Bakr,Salle de sport,au Quartier Hay Mohammadi  à  Casablanca,au Quartier Hay Mohammadi,Casablanca,N/A,0,True,False,N/A,"Association  Bakr est votre salle de sport à Casablanca, située exactement à Centre de services sociaux ELMOUAHIDINE au quartier HAY MOHAMMADI à Casablanca. Association  Bakr vous accueille et propose un ensemble de services et d'activités : Kung fu, Van Lang...",https://www.clubs.ma/images/default-image.png,https://www.clubs.mahttps://www.clubs.ma/casablanca/association-bakr,"Kung fu, Van Lang Vo Dao",True,True
Club Bidaoua Des Sports,Club des arts martiaux,à  Casablanca,N/A,Casablanca,N/A,0,True,False,N/A,Club Bidaoua Des Sports vous invite à son École de Karaté et Disciplines Associées située au complexe sportif Larbi Benmbarek (ex. Stade Philippe). Club Bidaoua des Sports est une association multidisciplinaire régie par la loi 30.09 et reconnue par le ministè...,https://www.clubs.ma/images/default-image.png,https://www.clubs.mahttps://www.clubs.ma/casablanca/club-bidaoua-des-sports,"Karaté, Arts martiaux",True,True
CrossFit Ain Diab,Salle affiliée CrossFit,au Quartier Ain Diab  à  Casablanca,au Quartier Ain Diab,Casablanca,N/A,0,True,False,N/A,"Crossfit Ain Diab, ce sont 1.000 m2 dédiés exclusivement à la pratique du crossfit. Plus grande box de crossfit de Casablanca, Crossfit Ain Diab dispose également d'une vaste piscine extérieure pour permettre à ses membres de se détendre, de s'entraîner ou enc...",https://www.clubs.ma/images/default-image.png,https://www.clubs.mahttps://www.clubs.ma/casablanca/crossfit-ain-diab,"CrossFit, Natation",True,True
La Graine Dance Studio,Ecole de danse,à  Casablanca,N/A,Casablanca,N/A,0,True,False,N/A,"La Graine Dance Studio est votre ecole de danse à Casablanca, située exactement à 12 Rue Abou Omar Al Harite en plein coeur de Casablanca. La Graine Dance Studio vous accueille et propose un ensemble de services et d'activités : Yoga, Hip hop, Danses latines,...",https://www.clubs.ma/images/default-image.png,https://www.clubs.mahttps://www.clubs.ma/casablanca/la-graine-dance-studio,"Yoga, Hip hop, Danses latines, Danse classique",True,True
City Club Ain Sebaa,Club de sport,au Quartier Ain Sebaa  à  Casablanca,au Quartier Ain Sebaa,Casablanca,N/A,0,False,False,N/A,"City Club Ain Sebaa est votre club de sport à Casablanca, situé exactement à Boulevard Moulay Ismail au quartier AIN SEBAA à Casablanca. City Club Ain Sebaa vous accueille et propose un ensemble de services et d'activités : Aqua gym, Self défense, Natation, Mu...",https://www.clubs.ma/assets/img280/697/city-club-ain-sebaa-club-de-sport-casablanca-697.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/city-club-ain-sebaa,"Aqua gym, Self défense, Natation, Musculation",False,False
Nadi Oasis (Fermé),Salle de sport,au Quartier Oasis  à  Casablanca,au Quartier Oasis,Casablanca,N/A,0,False,False,N/A,"Club de sport et de natation Femmes et Enfants. Nadi Oasis réouvre ses porte et vous propose un espace de sport et de détente dans un cadre architectural exceptionnel, alliant modernisme et tradition.",https://www.clubs.ma/assets/img280/542/nadi-oasis-salle-de-sport-casablanca-542.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/nadi-oasis,"Aqua gym, Taekwondo, Natation, Danse",False,False
UFC Gym,Club de sport,au Quartier Sidi Bernoussi  à  Casablanca,au Quartier Sidi Bernoussi,Casablanca,N/A,0,False,False,N/A,"Bienvenue au UFC Gym Casablanca, le plus vaste centre de remise en forme en Afrique, un véritable sanctuaire de l'excellence sportive. Notre club dispose d'un octogone officiel, d'une zone de fitness en plein air et d'un temple des arts martiaux comprenant le...",https://www.clubs.ma/assets/img280/1598/ufc-gym-club-de-sport-casablanca-1598.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/ufc-gym,"Kick Boxing, Judo, Karaté, Jiu-Jitsu brésilien",True,False
Beauséjour Club de Sport,Club de sport,au Quartier Beausejour  à  Casablanca,au Quartier Beausejour,Casablanca,N/A,0,False,False,N/A,"Beauséjour Club de Sport est votre club de sport à Casablanca, situé exactement à N°53, Rue Wouroude-ex Roses au quartier BEAUSEJOUR à Casablanca. Beauséjour Club de Sport vous accueille et propose un ensemble de services et d'activités : Fitness, et autres. B...",https://www.clubs.ma/images/default-image.png,https://www.clubs.mahttps://www.clubs.ma/casablanca/beausejour-club-de-sport,Fitness,False,False
Vit'halles Fitness Club,Club de sport,au Quartier Bourgogne  à  Casablanca,au Quartier Bourgogne,Casablanca,N/A,0,False,False,N/A,"Vit'halles Fitness Club  est votre club de sport à Casablanca, situé exactement à Avenue de Tantan -ex Monte carlo, angle rue Abou Al Waqt au quartier BOURGOGNE à Casablanca. Vit'halles Fitness Club  vous accueille et propose un ensemble de services et d'activ...",https://www.clubs.ma/images/default-image.png,https://www.clubs.mahttps://www.clubs.ma/casablanca/vit-halles-fitness-club,"Natation, Musculation, Fitness",False,False
Moroccan Mountain Bikers,Club de cyclisme,au Quartier Gauthier  à  Casablanca,au Quartier Gauthier,Casablanca,N/A,0,False,False,N/A,"Le club de cyclisme Moroccan Mountain Bikers de Casablanca vous propose une série d'activités qui va rejoindre un grand nombre d'adeptes du VTT. Nous vous proposons des sorties régulières en vélo, des sorties comportant quelques défis, des ateliers et autres a...",https://www.clubs.ma/assets/img280/896/moroccan-mountain-bikers-club-de-cyclisme-casablanca-896.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/moroccan-mountain-bikers,"VTT, Cyclisme",True,True
Widad Athletic Club (Wac),Club de sport,au Quartier Beausejour  à  Casablanca,au Quartier Beausejour,Casablanca,N/A,0,False,False,N/A,Le Wydad Athletic Club (WAC) a été crée par Hadj Mohamed Benjelloun à Casablanca le 08 Mai 1937.,https://www.clubs.ma/assets/img280/608/widad-athletic-club-wac-club-de-sport-casablanca-608.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/widad-athletic-club-wac,Football,False,False
Gymnasia Littoral,Club de sport,au Quartier Hay Hassani  à  Casablanca,au Quartier Hay Hassani,Casablanca,N/A,0,False,False,N/A,"Gymnasia Littoral est votre club de sport à Casablanca, situé exactement à 53, Boulevard Sidi Abderrahmane ,Coté clinique YASMINE au quartier HAY HASSANI à Casablanca. Gymnasia Littoral vous accueille et propose un ensemble de services et d'activités : Aqua gy...",https://www.clubs.ma/assets/img280/793/gymnasia-littoral-club-de-sport-casablanca-793.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/gymnasia-littoral,"Aqua gym, Natation, Musculation, Fitness",False,False
Association Mario Sport,Club de sport,au Quartier Hay Moulay Rachid  à  Casablanca,au Quartier Hay Moulay Rachid,Casablanca,N/A,0,False,False,N/A,"Association Mario Sport est votre club de sport à Casablanca, situé exactement à Avenue Akid Allam, Résidence Diyar Essalam bournazel au quartier HAY MOULAY RACHID à Casablanca. Association Mario Sport vous accueille et propose un ensemble de services et d'act...",https://www.clubs.ma/assets/img280/128/association-mario-sport-club-de-sport-casablanca-128.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/association-mario-sport,"Aikido, Musculation, Karaté, Fitness",False,False
Energy Fit,Club de sport,au Quartier Hay Roche Noires  à  Casablanca,au Quartier Hay Roche Noires,Casablanca,N/A,0,False,False,N/A,"Energy Fit est votre club de sport à Casablanca, situé exactement à  80 Bd Moulay Slimane, en face du showroom Maserati au quartier HAY ROCHE NOIRES à Casablanca. Energy Fit vous accueille et propose un ensemble de services et d'activités : Aqua gym, Salsa, Na...",https://www.clubs.ma/assets/img280/1177/energy-fit-club-de-sport-casablanca-1177.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/energy-fit,"Aqua gym, Salsa, Natation, Musculation",True,True
Le Cercle CrossFit (Fermé),Salle affiliée CrossFit,au Quartier Bourgogne  à  Casablanca,au Quartier Bourgogne,Casablanca,N/A,0,False,False,N/A,"Le cercle, salle 100% dédiée au CrossFit vous permettra de vous forger la condition physique que vous souhaitez atteindre. Accessible à tous, nos coachs adaptent les exercices au niveau de chacun pour accompagner et assurer un bon entrainement.",https://www.clubs.ma/assets/img280/945/le-cercle-crossfit-box-affiliee-crossfit-casablanca-945.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/le-cercle-crossfit,CrossFit,True,True
Anfa Soccer Youth Academy,Club de sport,au Quartier Californie  à  Casablanca,au Quartier Californie,Casablanca,N/A,0,False,False,N/A,Anfa Soccer Youth Academy est la première école privée au Maroc de formation professionnelle en football fondée en Janvier 2009.,https://www.clubs.ma/assets/img280/428/anfa-soccer-youth-academy-club-de-sport-casablanca-428.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/anfa-soccer-youth-academy,Football,True,True
Complexe Sportif Mohammed V,Club de sport,au Quartier Maarif Extension  à  Casablanca,au Quartier Maarif Extension,Casablanca,N/A,0,False,False,N/A,"C’est un centre aquatique situé dans une salle couverte d'une capacité d'environ 3000 places assises, comprenant :
1 bassin olympique de 50 x 21 m – profondeur 2 m (8 couloirs)
1 bassin de plongeon de 18 x 18 m avec plongeoirs de 1, 3,5,7 et 10 m – profondeu...",https://www.clubs.ma/assets/img280/507/complexe-sportif-mohammed-v-club-de-sport-casablanca-507.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/complexe-sportif-mohammed-v,"Natation, Musculation, Fitness",True,True
Aiki Shuren Dojo,Salle de sport,au Quartier Mers Sultan 1  à  Casablanca,au Quartier Mers Sultan 1,Casablanca,N/A,0,False,False,N/A,Aiki Shuren Dojo est une école d’arts martiaux affiliée à la Fédération Royale Marocaine De Judo Et Arts Martiaux Assimilés.,https://www.clubs.ma/assets/img280/95/aiki-shuren-dojo-salle-de-sport-casablanca-95.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/aiki-shuren-dojo,"Aikido, Taekwondo, Judo, Fitness",True,True
Alia Fitness Club,Club de sport,au Quartier Tit Mellil  à  Casablanca,au Quartier Tit Mellil,Casablanca,N/A,0,False,False,N/A,"Alia Fitness Club est votre club de sport à Casablanca, situé exactement à Lot n° 5 Sfa Lotissement Alia Boulevard mourabitine  au quartier TIT MELLIL à Casablanca. Alia Fitness Club vous accueille et propose un ensemble de services et d'activités : Aqua gym,...",https://www.clubs.ma/assets/img280/1036/alia-fitness-club-club-de-sport-casablanca-1036.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/alia-fitness-club,"Aqua gym, Musculation, Fitness, Aerobic",True,True
Calypso Club de Plongée,Club de sport,au Quartier Maarif  à  Casablanca,au Quartier Maarif,Casablanca,N/A,0,False,False,N/A,le Calypso est un club de plongée sous marine basé au centre de Casablanca au Complexe Sportif Mohamed V.,https://www.clubs.ma/assets/img280/461/calypso-club-de-plongee-club-de-sport-casablanca-461.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/calypso-club-de-plongee,Plongée,False,False
Cercle Amical Français de Casablanca CAFC,Club de sport,au Quartier Beausejour  à  Casablanca,au Quartier Beausejour,Casablanca,N/A,0,False,False,N/A,"Le Cercle amical Français de Casablanca est une association composée de personnes dénommées “Cafistes“ réunies dans un même élan de partage d’activités de nature récréative qu’elles fussent sportives, artistiques ou intellectuelles.",https://www.clubs.ma/assets/img280/457/cercle-amical-francais-de-casablanca-cafc-club-de-sport-casablanca-457.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/cercle-amical-francais-de-casablanca-cafc,"VolleyBall, Tir à l'arc, Tennis, Roller",False,False
City Club Abdelmoumen,Club de sport,au Quartier Derb Ghallef  à  Casablanca,au Quartier Derb Ghallef,Casablanca,N/A,0,False,False,N/A,"City Club Abdelmoumen est votre club de sport à Casablanca, situé exactement à N 250 , Boulevard Abdelmoumen prés de la station tram Abdelmoumen au quartier DERB GHALLEF à Casablanca. City Club Abdelmoumen vous accueille et propose un ensemble de services et d...",https://www.clubs.ma/assets/img280/701/city-club-abdelmoumen-club-de-sport-casablanca-701.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/city-club-abdelmoumen,"Musculation, Fitness, Danse orientale, Danse",False,False
City Club Californie,Club de sport,au Quartier Sidi Maarouf 1  à  Casablanca,au Quartier Sidi Maarouf 1,Casablanca,N/A,0,False,False,N/A,"City Club Californie est votre club de sport à Casablanca, situé exactement à 4 chemin des 4 temps au quartier SIDI MAAROUF 1 à Casablanca. City Club Californie vous accueille et propose un ensemble de services et d'activités : Aqua gym, Musculation, Fitness,...",https://www.clubs.ma/assets/img280/721/city-club-californie-club-de-sport-casablanca-721.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/city-club-californie,"Aqua gym, Musculation, Fitness, Danse orientale",False,False
City Club Emile Zola,Club de sport,à  Casablanca,N/A,Casablanca,N/A,0,False,False,N/A,"City Club Emile Zola est votre club de sport à Casablanca, situé exactement à 117 Boulevard Emile Zola en plein coeur de Casablanca. City Club Emile Zola vous accueille et propose un ensemble de services et d'activités : Aqua gym, Musculation, Fitness, Danse o...",https://www.clubs.ma/assets/img280/759/city-club-emile-zola-club-de-sport-casablanca-759.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/city-club-emile-zola,"Aqua gym, Musculation, Fitness, Danse orientale",False,False
City Club express Bourgogne,Club de sport,au Quartier Bourgogne  à  Casablanca,au Quartier Bourgogne,Casablanca,N/A,0,False,False,N/A,"City Club express Bourgogne. Un club à proximité de chez vous, plus de 400 m² de fitness, musculation, cardio-training, Free-Weight ouvert 7J/7 et 24h/24*

Notre force, c'est nos coachs ! Venez vous dépasser avec des coachs diplômés et certifiés LesMills",https://www.clubs.ma/assets/img280/1178/city-club-express-bourgogne-club-de-sport-casablanca-1178.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/city-club-express-bourgogne,"Musculation, Fitness",False,False
City Club Jeanne d’Arc,Club de sport,au Quartier Bourgogne  à  Casablanca,au Quartier Bourgogne,Casablanca,N/A,0,False,False,N/A,"City Club Jeanne d’Arc est votre club de sport à Casablanca, situé exactement à Rue Aïn Harrouda au quartier BOURGOGNE à Casablanca. City Club Jeanne d’Arc vous accueille et propose un ensemble de services et d'activités : Musculation, Fitness, Danse orientale...",https://www.clubs.ma/assets/img280/725/city-club-jeanne-d-arc-club-de-sport-casablanca-725.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/city-club-jeanne-d-arc,"Musculation, Fitness, Danse orientale, Danse",False,FalseCity Club Mohammed V,Club de sport,à  Casablanca,N/A,Casablanca,N/A,0,False,False,N/A,"City Club Mohammed V est votre club de sport à Casablanca, situé exactement à Avenue Mohammed 5 ,Ex rond point shell en plein coeur de Casablanca. City Club Mohammed V vous accueille et propose un ensemble de services et d'activités : Aqua gym, Musculation, Fi...",https://www.clubs.ma/assets/img280/748/city-club-mohamed-v-club-de-sport-casablanca-748.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/city-club-mohamed-v,"Aqua gym, Musculation, Fitness, Danse orientale",False,False
Club Equestrian Ould Jmel,Club équestre,au Quartier Ain Diab  à  Casablanca,au Quartier Ain Diab,Casablanca,N/A,0,False,False,N/A,"Club Equestrian Ould Jmel est votre club équestre à Casablanca, situé exactement à 36 Bis, Boulevard Sidi Abderrahman au quartier AIN DIAB à Casablanca. Club Equestrian Ould Jmel vous accueille et propose un ensemble de services et d'activités : Randonnée éque...",https://www.clubs.ma/assets/img280/483/club-equestrian-ould-jmel-club-equestre-casablanca-483.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/club-equestrian-ould-jmel,"Randonnée équestre, Équitation",False,False
Gymnasia Ain Sebaa,Club de sport,au Quartier Ain Sebaa  à  Casablanca,au Quartier Ain Sebaa,Casablanca,N/A,0,False,False,N/A,"Gymnasia Ain Sebaa est votre club de sport à Casablanca, situé exactement à 65, Rue Prichardias  à côté de l'école Itihad au quartier AIN SEBAA à Casablanca. Gymnasia Ain Sebaa vous accueille et propose un ensemble de services et d'activités : Natation, Muscul...",https://www.clubs.ma/assets/img280/799/gymnasia-ain-sebaa-club-de-sport-casablanca-799.jpg,https://www.clubs.mahttps://www.clubs.ma/casablanca/gymnasia-ain-sebaa,"Natation, Musculation, Fitness, Danse orientale",False,False
